match_id,team,total_xG,avg_shot_xG,shot_count,goals,conversion_rate,h_team,a_team,team_name
21925,Away,1.225,0.136111111,9,2,0.222222222,Luton,West Ham,West Ham
21925,Home,2.204,0.13775,16,1,0.0625,Luton,West Ham,Luton
21926,Away,3.262,0.191882353,17,2,0.117647059,Sheffield United,Everton,Everton
21926,Home,1.657,0.127461538,13,1,0.076923077,Sheffield United,Everton,Sheffield United
21927,Away,1.888,0.314666667,6,1,0.166666667,Manchester City,Fulham,Fulham
21927,Home,2.041,0.291571429,7,5,0.714285714,Manchester City,Fulham,Manchester City
21928,Away,2.113,0.176083333,12,2,0.166666667,Brentford,Bournemouth,Bournemouth
21928,Home,3.071,0.146238095,21,2,0.095238095,Brentford,Bournemouth,Brentford
21929,Away,2.401,0.12005,20,5,0.25,Burnley,Tottenham,Tottenham
21929,Home,1.666,0.104125,16,2,0.125,Burnley,Tottenham,Burnley
21930,Away,1.15,0.164285714,7,1,0.142857143,Chelsea,Nottingham Forest,Nottingham Forest
21930,Home,2.285,0.108809524,21,0,0,Chelsea,Nottingham Forest,Chelsea
21931,Away,0.905,0.100555556,9,1,0.111111111,Brighton,Newcastle United,Newcastle United
21931,Home,1.377,0.0918,15,3,0.2,Brighton,Newcastle United,Brighton
21932,Away,1.14,0.095,12,2,0.166666667,Crystal Palace,Wolverhampton Wanderers,Wolverhampton Wanderers
21932,Home,2.358,0.147375,16,3,0.1875,Crystal Palace,Wolverhampton Wanderers,Crystal Palace
21933,Away,0.615,0.0615,10,0,0,Liverpool,Aston Villa,Aston Villa
21933,Home,2.743,0.161352941,17,2,0.117647059,Liverpool,Aston Villa,Liverpool
21934,Away,0.984,0.0984,10,1,0.1,Arsenal,Manchester United,Manchester United
21934,Home,1.911,0.112411765,17,3,0.176470588,Arsenal,Manchester United,Arsenal
21935,Away,2.826,0.176625,16,2,0.125,Wolverhampton Wanderers,Liverpool,Liverpool
21935,Home,0.537,0.04475,12,1,0.083333333,Wolverhampton Wanderers,Liverpool,Wolverhampton Wanderers
21936,Away,0.79,0.112857143,7,1,0.142857143,Tottenham,Sheffield United,Sheffield United
21936,Home,2.158,0.077071429,28,2,0.071428571,Tottenham,Sheffield United,Tottenham
21937,Away,4.361,0.15037931,29,3,0.103448276,West Ham,Manchester City,Manchester City
21937,Home,0.896,0.149333333,6,1,0.166666667,West Ham,Manchester City,West Ham
21938,Away,1.117,0.186166667,6,1,0.166666667,Aston Villa,Crystal Palace,Crystal Palace
21938,Home,2.317,0.1448125,16,3,0.1875,Aston Villa,Crystal Palace,Aston Villa
21939,Away,1.457,0.208142857,7,0,0,Fulham,Luton,Luton
21939,Home,1.756,0.135076923,13,1,0.076923077,Fulham,Luton,Fulham
21940,Away,1.94,0.194,10,3,0.3,Manchester United,Brighton,Brighton
21940,Home,0.719,0.051357143,14,1,0.071428571,Manchester United,Brighton,Manchester United
21941,Away,0.828,0.063692308,13,1,0.076923077,Everton,Arsenal,Arsenal
21941,Home,0.284,0.0355,8,0,0,Everton,Arsenal,Everton
21942,Away,1.417,0.101214286,14,0,0,Bournemouth,Chelsea,Chelsea
21942,Home,1.327,0.102076923,13,0,0,Bournemouth,Chelsea,Bournemouth
21943,Away,0.634,0.057636364,11,0,0,Newcastle United,Brentford,Brentford
21943,Home,1.534,0.170444444,9,1,0.111111111,Newcastle United,Brentford,Newcastle United
21944,Away,0.812,0.0812,10,1,0.1,Nottingham Forest,Burnley,Burnley
21944,Home,0.707,0.0505,14,1,0.071428571,Nottingham Forest,Burnley,Nottingham Forest
21945,Away,0.792,0.264,3,1,0.333333333,Luton,Wolverhampton Wanderers,Wolverhampton Wanderers
21945,Home,2.239,0.11195,20,1,0.05,Luton,Wolverhampton Wanderers,Luton
21946,Away,0.73,0.073,10,0,0,Manchester City,Nottingham Forest,Nottingham Forest
21946,Home,1.341,0.191571429,7,2,0.285714286,Manchester City,Nottingham Forest,Manchester City
21947,Away,1.143,0.0762,15,1,0.066666667,Chelsea,Aston Villa,Aston Villa
21947,Home,1.198,0.1198,10,0,0,Chelsea,Aston Villa,Chelsea
21948,Away,0.548,0.0548,10,0,0,Crystal Palace,Fulham,Fulham
21948,Home,0.371,0.053,7,0,0,Crystal Palace,Fulham,Crystal Palace
21949,Away,2.515,0.139722222,18,3,0.166666667,Brentford,Everton,Everton
21949,Home,1.757,0.146416667,12,1,0.083333333,Brentford,Everton,Brentford
21950,Away,0.841,0.076454545,11,1,0.090909091,Burnley,Manchester United,Manchester United
21950,Home,0.936,0.078,12,0,0,Burnley,Manchester United,Burnley
21951,Away,1.62,0.124615385,13,1,0.076923077,Brighton,Bournemouth,Bournemouth
21951,Home,2.151,0.165461538,13,2,0.153846154,Brighton,Bournemouth,Brighton
21952,Away,2.212,0.158,14,2,0.142857143,Arsenal,Tottenham,Tottenham
21952,Home,2.342,0.180153846,13,1,0.076923077,Arsenal,Tottenham,Arsenal
21953,Away,1.539,0.139909091,11,1,0.090909091,Liverpool,West Ham,West Ham
21953,Home,4.14,0.188181818,22,3,0.136363636,Liverpool,West Ham,Liverpool
21954,Away,5.151,0.234136364,22,8,0.363636364,Sheffield United,Newcastle United,Newcastle United
21954,Home,0.579,0.064333333,9,0,0,Sheffield United,Newcastle United,Sheffield United
21955,Away,1.729,0.144083333,12,1,0.083333333,Aston Villa,Brighton,Brighton
21955,Home,1.924,0.101263158,19,5,0.263157895,Aston Villa,Brighton,Aston Villa
21956,Away,1.545,0.171666667,9,2,0.222222222,Everton,Luton,Luton
21956,Home,4.172,0.181391304,23,1,0.043478261,Everton,Luton,Everton
21957,Away,1.191,0.148875,8,1,0.125,Manchester United,Crystal Palace,Crystal Palace
21957,Home,1.555,0.081842105,19,0,0,Manchester United,Crystal Palace,Manchester United
21958,Away,0.835,0.104375,8,0,0,Newcastle United,Burnley,Burnley
21958,Home,3.329,0.16645,20,2,0.1,Newcastle United,Burnley,Newcastle United
21959,Away,4.136,0.275733333,15,4,0.266666667,Bournemouth,Arsenal,Arsenal
21959,Home,0.646,0.08075,8,0,0,Bournemouth,Arsenal,Bournemouth
21960,Away,0.92,0.0575,16,0,0,West Ham,Sheffield United,Sheffield United
21960,Home,3.441,0.17205,20,2,0.1,West Ham,Sheffield United,West Ham
21961,Away,0.984,0.041,24,1,0.041666667,Wolverhampton Wanderers,Manchester City,Manchester City
21961,Home,0.674,0.224666667,3,1,0.333333333,Wolverhampton Wanderers,Manchester City,Wolverhampton Wanderers
21962,Away,1.131,0.087,13,1,0.076923077,Tottenham,Liverpool,Liverpool
21962,Home,2.204,0.091833333,24,1,0.041666667,Tottenham,Liverpool,Tottenham
21963,Away,1.759,0.097722222,18,1,0.055555556,Nottingham Forest,Brentford,Brentford
21963,Home,0.8,0.133333333,6,1,0.166666667,Nottingham Forest,Brentford,Nottingham Forest
21964,Away,2.039,0.185363636,11,2,0.181818182,Fulham,Chelsea,Chelsea
21964,Home,0.939,0.0939,10,0,0,Fulham,Chelsea,Fulham
21965,Away,0.858,0.2145,4,0,0,Arsenal,Manchester City,Manchester City
21965,Home,0.39,0.0325,12,1,0.083333333,Arsenal,Manchester City,Arsenal
21966,Away,2.512,0.179428571,14,2,0.142857143,Brighton,Liverpool,Liverpool
21966,Home,2.234,0.159571429,14,2,0.142857143,Brighton,Liverpool,Brighton
21967,Away,1.976,0.219555556,9,3,0.333333333,Burnley,Chelsea,Chelsea
21967,Home,0.958,0.087090909,11,1,0.090909091,Burnley,Chelsea,Burnley
21968,Away,1.264,0.079,16,0,0,Crystal Palace,Nottingham Forest,Nottingham Forest
21968,Home,0.983,0.122875,8,0,0,Crystal Palace,Nottingham Forest,Crystal Palace
21969,Away,0.982,0.089272727,11,0,0,Everton,Bournemouth,Bournemouth
21969,Home,3.624,0.14496,25,3,0.12,Everton,Bournemouth,Everton
21970,Away,0.252,0.042,6,0,0,Fulham,Sheffield United,Sheffield United
21970,Home,2.267,0.107952381,21,2,0.095238095,Fulham,Sheffield United,Fulham
21971,Away,2.381,0.158733333,15,1,0.066666667,Luton,Tottenham,Tottenham
21971,Home,0.847,0.070583333,12,0,0,Luton,Tottenham,Luton
21972,Away,1.024,0.093090909,11,1,0.090909091,Manchester United,Brentford,Brentford
21972,Home,1.298,0.061809524,21,2,0.095238095,Manchester United,Brentford,Manchester United
21973,Away,1.978,0.1978,10,2,0.2,West Ham,Newcastle United,Newcastle United
21973,Home,0.931,0.1862,5,2,0.4,West Ham,Newcastle United,West Ham
21974,Away,1.815,0.100833333,18,1,0.055555556,Wolverhampton Wanderers,Aston Villa,Aston Villa
21974,Home,1.763,0.220375,8,1,0.125,Wolverhampton Wanderers,Aston Villa,Wolverhampton Wanderers
21975,Away,2.364,0.1182,20,2,0.1,Bournemouth,Wolverhampton Wanderers,Wolverhampton Wanderers
21975,Home,1.019,0.145571429,7,1,0.142857143,Bournemouth,Wolverhampton Wanderers,Bournemouth
21976,Away,0.666,0.047571429,14,1,0.071428571,Aston Villa,West Ham,West Ham
21976,Home,2.341,0.156066667,15,4,0.266666667,Aston Villa,West Ham,Aston Villa
21977,Away,0.693,0.1155,6,0,0,Brentford,Burnley,Burnley
21977,Home,3.183,0.138391304,23,3,0.130434783,Brentford,Burnley,Brentford
21978,Away,1.059,0.081461538,13,2,0.153846154,Chelsea,Arsenal,Arsenal
21978,Home,1.724,0.156727273,11,2,0.181818182,Chelsea,Arsenal,Chelsea
21979,Away,0.095,0.015833333,6,0,0,Liverpool,Everton,Everton
21979,Home,2.287,0.087961538,26,2,0.076923077,Liverpool,Everton,Liverpool
21980,Away,0.963,0.1926,5,1,0.2,Manchester City,Brighton,Brighton
21980,Home,0.963,0.0963,10,2,0.2,Manchester City,Brighton,Manchester City
21981,Away,1.098,0.064588235,17,0,0,Newcastle United,Crystal Palace,Crystal Palace
21981,Home,3.732,0.3732,10,4,0.4,Newcastle United,Crystal Palace,Newcastle United
21982,Away,1.499,0.115307692,13,2,0.153846154,Nottingham Forest,Luton,Luton
21982,Home,3.276,0.172421053,19,2,0.105263158,Nottingham Forest,Luton,Nottingham Forest
21983,Away,1.477,0.1055,14,2,0.142857143,Sheffield United,Manchester United,Manchester United
21983,Home,1.409,0.117416667,12,1,0.083333333,Sheffield United,Manchester United,Sheffield United
21984,Away,0.746,0.0746,10,0,0,Tottenham,Fulham,Fulham
21984,Home,1.666,0.111066667,15,2,0.133333333,Tottenham,Fulham,Tottenham
21985,Away,0.903,0.1505,6,1,0.166666667,Bournemouth,Burnley,Burnley
21985,Home,1.103,0.084846154,13,2,0.153846154,Bournemouth,Burnley,Bournemouth
